name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Valiant Minister,Candy Ride (Arg),Spooky Minister,Deputy Minister,3500,S&N,
Tunwoo,Medaglia D'Oro,Sea Gift,Forest Wildcat,2000,S&N,
