name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Central Banker,Speightstown,,,7500,LFSN,
Solomini,Curlin,,,7500,LFSN,
Provocateur,,,,,LFSN,
Showcase,Uncle Mo,,,5000,LFSN,
