name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Win Win Win,Hat Trick (Jpn),Miss Smarty Pants,Smarty Jones,8500,S&N,
Roadster,Quality Road,Ghost Dancing,Silver Ghost,7500,S&N,
Colonel Liam,Liam's Map,Magic Dance,Tale Of The Cat,6500,S&N,
Khozan,Distorted Humor,Delta Princess,A.P. Indy,6000,S&N,
Awesome Slew,Awesome Again,New Orleans Slew,Seattle Slew,4000,S&N,
Adios Charlie,Indian Charlie,Adios Babe,Touch Gold,3000,S&N,
Gretzky The Great,Nyquist,Inflexibility,Pulpit,3000,S&N,
