name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Oscar Performance,Kitten's Joy,Devine Actress,Theatrical (Ire),60000,LFSN,
Casa Creed,Jimmy Creed,Achalaya,Bernardini,8500,LFSN,
Aloha West,Hard Spun,Island Bound,Speightstown,6500,LFSN,
