name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Funtastic,More Than Ready,Quiet Dance,Quiet American,2500,,
Gun Pilot,Gun Runner,Bush Pilot,Smart Strike,12500,,
Gun Runner,Candy Ride (Arg),Quiet Giant,Giant's Causeway,250000,,
Newgate,Into Mischief,Majestic Presence,Majestic Warrior,17500,,
Volatile,Violence,Melody Lady,Unbridled's Song,10000,,
