name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Annapolis,War Front,Noble Maz,Lost Soldier,12500,LFSN,
Blame,Arch,Liable,Seeking the Gold,25000,LFSN,
Bright Future,Curlin,First Cat,Storm Cat,5000,LFSN,
Johannes,Malibu Moon,Vision of Heaven,Giant's Causeway,10000,LFSN,
Mindframe,Constitution,Enjoy the Moment,Any Given Saturday,50000,LFSN,
Prince of Monaco,Speightstown,Surefire,War Front,30000,LFSN,
Silver State,Hard Spun,Supreme,A.P. Indy,7500,LFSN,
War Front,Danzig,Starry Dreamer,Rubiano,,,Private
