name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Collected,City Zip,Helena Bay (GB),Johannesburg,7500,LFSN,
Editorial,War Front,,,3000,LFSN,
Eight Rings,Empire Maker,,,6000,LFSN,
Mo Forza,Uncle Mo,,,5000,LFSN,
Niagara Falls,,,,2500,LFSN,
Northern Causeway,Giant's Causeway,,,2500,LFSN,
Sir Prancealot (Ire),Tamayuz,,,6000,LFSN,
The Street Fighter,Street Boss,,,2500,LFSN,
Uptown Rythem,,,,1500,LFSN,
