name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Sir Winston,Awesome Again,La Gran Bailadora,Bernardini,5000,LFSN,
Il Miracolo,Gun Runner,Tapit's World,Tapit,7500,LFSN,
Heart To Heart,English Channel,Ask The Question,Silver Deputy,,,
