name,sire,dam,damsire,fee_usd,fee_terms,fee_qualifier
Angel of Empire,Classic Empire,Armony's Angel,To Honor and Serve,5000,S&N,
Arthur's Ride,Tapit,Points Of Grace,Point Given,12500,S&N,
Dr. Schivel,Violence,Lil Nugget,Mining for Money,5000,S&N,
Early Voting,Gun Runner,Amour d'Ete,Tiznow,12500,S&N,
Idol,Curlin,Igloo,Mshawish,5000,S&N,
Instagrand,Into Mischief,Tiz So Fast,Tiznow,8000,S&N,
Instilled Regard,Arch,Enhancing,Forestry,5000,S&N,
Not This Time,Giant's Causeway,Miss Macy Sue,Trippi,250000,S&N,
Tacitus,Tapit,Close Hatches,First Defence,10000,S&N,
